账期,账号ID,账号,Owner账号ID,Owner账号,产品Code,产品,产品明细Code,产品明细,消费类型,消费时间,账单开始时间,账单结束时间,订单号/账单号,账单类型,官网价,优惠金额,优惠券抵扣,抹零金额,应付金额,现金支付,信用额度退款抵扣,代金券抵扣,储值卡支付金额,欠费金额,支付状态,币种
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,eip,弹性公网IP,eip,弹性公网IP,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104879	",后付费账单,0.159,0,0,0.009,0.15,0.15,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,ecs,云服务器 ECS,vm,云服务器ECS-包年包月,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104878	",后付费账单,0.001,0,0,0.001,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104885	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104884	",后付费账单,0.011,0,0,0.001,0.01,0.01,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104877	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_sub,POLARDB-包年包月,后付费,-,2023/9/25 6:00,2023/9/25 7:00,"2023091776104873	",后付费账单,0.054,0,0,0.004,0.05,0.05,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,vod,视频点播,vod,视频点播,后付费,-,2023/9/25 0:00,2023/9/25 1:00,"2023091776104872	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,vod,视频点播,vod,视频点播,后付费,-,2023/9/25 4:00,2023/9/25 5:00,"2023091776104870	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,oss,对象存储,oss,对象存储OSS,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104869	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,eip,弹性公网IP,eip,弹性公网IP,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104867	",后付费账单,0.158,0,0,0.008,0.15,0.15,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,ecs,云服务器 ECS,vm,云服务器ECS-包年包月,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104868	",后付费账单,0.001,0,0,0.001,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104876	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104875	",后付费账单,0,0,0,0,0,0,,0,0,0,已结清,CNY
"2023-09	","1714461935844955	",南京花笙书城2,"1714461935844955	",南京花笙书城2,polardb,云原生数据库 PolarDB,polardb_backups_public_cn,PolarDB 备份,后付费,-,2023/9/25 5:00,2023/9/25 6:00,"2023091776104866	",后付费账单,0.013,0,0,0.003,0.01,0.01,,0,0,0,已结清,CNY
